Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-1-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-2-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-3-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-4-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F7.mzML
Q05086	Q05086		UBE3A		749785	389181	869492	345149	461702	372038	827418	365104	420471	699091	533743	623207	1.16074e+06	521357	667343	92067.5	384914		641221			442734	176189	575046	1.01684e+06	113796	440526		383685		227619	269869	421702	778768	1.32038e+06		902589	117167	1.10047e+06	407753		41360.7	683329	133966	612930	326152	422892	319078			242124	437992						
Q05193	Q05193		DNM1		802401	821596	702970	696315	592598	631652		662244	694391				148074		392390	157849	753144		407540			758603		455813	100027	381094		4.14629e+06	616489				662518	307497	142648			344756	143058	4.12414e+06		397656			401031	702527	626219											
Q05209	Q05209		PTPN12		656326	385047	562934	440015	531653	397096		447009	378937	1.36707e+06	1.33262e+06	1.20316e+06	92853	1.0768e+06	305098	899661	329418	674654	353337			362591	994416	304118	146702	998210	726924		374291	1.16682e+06	904796	569895	318395	258978	178467		184770	793234	121307	351719		927893	942117	973592	289433	266426	241730	278252			297544	185295						
Q05397	Q05397		PTK2		1.52031e+06	1.18149e+06	1.51256e+06	1.11601e+06	973895	880155	1.17038e+06	861155	1.43285e+06	1.72108e+06		1.30512e+06	712498	1.03438e+06	1.3656e+06		1.17039e+06	777153	1.30394e+06	2.61178e+07	2.97319e+07	1.31077e+06	380813	1.43765e+06	293011	144931	556267	2.03848e+07	1.01922e+06	255416	476266	256102	1.21643e+06	1.28266e+06	796500	4.40978e+07	473856	153107	598805	724661	3.0681e+07	216870	442507	657096	1.39712e+06	1.14442e+06	1.12551e+06	565795	1.82989e+07	2.19608e+07	577970	613985	1.80717e+07	1.29554e+07	3.58367e+07		4.39993e+07	
Q05513	Q05513		PRKCZ			299604		275369	268874	281090		318549	338690				424534		194692		462129		246446			413191		284686	205465				252166				252433	195185	130846										260887	430180	400028											
Q05519	Q05519		SRSF11		5.1283e+06	4.80039e+06	5.16501e+06	3.86152e+06	3.9278e+06	3.49292e+06		3.73822e+06	4.08012e+06	1.59577e+06	1.46203e+06	1.85428e+06	779305	1.18299e+06	3.27946e+06	1.29376e+06	4.28163e+06	3.23626e+06	3.03389e+06			4.2594e+06	2.75454e+06	3.26026e+06	801484	1.45944e+06	3.6254e+06		3.68197e+06	1.59602e+06	2.71013e+06	1.3021e+06	3.92077e+06	2.58784e+06	777581		775668	1.32064e+06	677582	3.35928e+06		1.42726e+06	3.31107e+06	3.00645e+06	2.78313e+06	3.72076e+06	3.9205e+06	3.1897e+06			3.5796e+06	3.41102e+06						
Q05639	Q05639		EEF1A2		3.96349e+06	3.15523e+06	4.68045e+06	1.86612e+06	2.21771e+06	2.01525e+06	2.54305e+06	1.88523e+06	1.26196e+06	5.05582e+06	2.51446e+06	2.20352e+06	1.53181e+06	1.58488e+06	1.07081e+06	3.28067e+06	1.25652e+06	5.0769e+06	1.3403e+06	5.62705e+07	3.7893e+07	1.2961e+06	3.03109e+06	1.1618e+06	1.48184e+06	3.35414e+06	3.85822e+06	5.50935e+07	1.42989e+06	3.66779e+06	2.76221e+06	2.72854e+06	699749	1.19787e+06	1.25796e+06		2.42535e+06	3.51679e+06	1.39309e+06	1.52045e+06		3.61893e+06	2.43276e+06	2.35852e+06	916177	1.05143e+06	1.21051e+06	988019	4.04988e+07	4.55881e+07	1.83187e+06	2.17694e+06		4.93171e+07	8.49847e+07	5.46152e+07	1.13664e+08	
Q05655	Q05655		PRKCD			764979	1.32127e+06	476954	417063			484057	345075				1.24616e+06		583940	258067	323148		644773			375075		455529	946798	94032.6			418859			325125	341624	874222	1.41376e+06		948755	240686	1.14826e+06	463070					719360		573030	180188			253216							
Q05823	Q05823		RNASEL		178306	212188	165326	212997	209707	263027		275233	285879				26823.3		179286		303178		178860			300791		215484	16456.2				204910				254385	145549	35220.1				26523.4						150445	302226	181347											
Q05D32	Q05D32		CTDSPL2		1.40785e+06	1.40073e+06	1.369e+06	1.76472e+06	1.51123e+06	1.3356e+06	6.46082e+06	1.29688e+06	1.03471e+06	4.99592e+06	4.08062e+06	1.68222e+06	181297	2.23603e+06	571021	179963	894563		665223			1.76014e+06		685533					1.04556e+06				756326	471665	64636.9					935749					703836	1.15222e+06	906734	1.05002e+06			1.14834e+06	794850						
Q06033	Q06033		ITIH3																																									4.88868e+06								4.23956e+06			6.56365e+06	1.04927e+07						
Q06124	Q06124		PTPN11		1.14967e+06	747185	1.25927e+06	697581	805370	829684	2.19518e+06	774358	463248	1.9782e+06	1.22667e+06	1.2082e+06	950158	1.10385e+06	500886	3.58142e+06	452281	1.16854e+06	504164			592466	817986	361315	877674	3.52883e+06	1.57934e+06		904069	3.87622e+06	1.2053e+06	3.11844e+06	484577	556052	710441		1.44491e+06	3.17002e+06	907150	1.27234e+06		3.33467e+06	1.39836e+06	1.68299e+06	495845	561137	558438	1.19733e+06			1.47748e+06	1.44483e+06						
Q06190	Q06190		PPP2R3A		442189	303453	402634	294428	326441	258047		266668	183646				120407		118939		208825		152558			243006		127522					226370		542327		157290	129735	117957										63789.7	137045	234702											
Q06203	Q06203		PPAT		1.52586e+06	889184	1.5155e+06	1.29857e+06	1.22956e+06	1.15476e+06		871025	612694	1.45171e+06	792150	974381	1.75123e+06	885858	431545	6.12648e+06	550249	1.91907e+07	577252			602051	1.6148e+07	466712	2.02911e+06	4.95873e+06	1.45729e+07		812161	8.14621e+06	1.90392e+07	3.98334e+06	394067	669307	1.23477e+06		2.85968e+06	4.64283e+06	1.52641e+06	1.47925e+06		5.24501e+06	1.66106e+07	1.41124e+07	450762	476049	499028	1.42875e+06			1.43943e+06	1.43015e+06						1.48745e+09
Q06210	Q06210		GFPT1		3.91057e+06	5.23676e+06	3.26302e+06	4.68452e+06	4.54447e+06	5.07665e+06	870959	4.36606e+06	6.41969e+06				1.08719e+06		6.40921e+06		6.30302e+06		7.7771e+06			6.54832e+06		8.98004e+06	800323				5.21996e+06				6.81333e+06	7.11962e+06	2.41685e+06		568688		1.40479e+06	2.94034e+06					7.63576e+06	8.11264e+06	6.88036e+06	2.63413e+06			2.62037e+06	2.4176e+06						1.3435e+08
Q06265	Q06265		EXOSC9		1.04862e+06	147068		484409	568310	497076		641888	459234				1.00157e+06		714202	157651	506142		708711			643035		653345	532506				455309			182659	404059	962324	932096		711937	152419	757226	1.23513e+06					668682	391468	508836	1.34844e+06			1.381e+06	1.33961e+06						
Q06323	Q06323		PSME1		6.6237e+06	4.57171e+06	6.30965e+06	6.87387e+06	5.98025e+06	6.63281e+06	5.69189e+07	5.47935e+06	3.31036e+06	7.34816e+07	5.15492e+07	4.90764e+07	1.35743e+06	5.70449e+07	1.96092e+06	2.80446e+06	2.87664e+06	1.85054e+07	1.65512e+06	4.54212e+08	4.07604e+08	3.79355e+06	1.03858e+07	3.07346e+06	2.62921e+06	3.12619e+06	1.30691e+07	4.24705e+08	5.79021e+06	3.19386e+06	1.42826e+07	2.38049e+06	4.04125e+06	1.84453e+06	2.085e+06	4.5153e+08	2.4609e+06	2.81255e+06	1.59855e+06	1.07829e+07	1.00769e+08	2.68401e+06	1.25838e+07	1.05206e+07	1.3585e+06	2.78802e+06	1.94385e+06	1.18261e+07	9.38129e+07	8.19848e+07	1.15617e+07	1.02431e+07	5.59598e+08	5.75778e+08	9.29108e+07	4.55945e+08	3.33245e+08	3.29344e+09
Q06330	Q06330		RBPJ		756826		3.67551e+06			615357	1.52003e+07		269098	1.57457e+07	1.5075e+07	1.53703e+07	582176	1.90674e+07	265548	398925		3.9874e+06			3.04947e+08	559542	1.29878e+06	161968		401741	1.43128e+06		1.52565e+06	403507	1.37369e+06	560962	262528		531281		944882	463754		606532			1.93871e+06	1.05348e+06							742870							3.85554e+08
Q06481	Q06481		APLP2										113704				128703		152410	91785.8	145594		160506			135857	179272	151828	95675				149388				107945	145671	238217		96102		109251						146765	96058.8	91897.9											
Q06546	Q06546		GABPA		759930	739604	872708	742488	914035	1.06152e+06		884468	917192	3.87325e+06	2.79358e+06	3.52178e+06	751809	2.54443e+06	906308		879572		974987		6.35642e+07	1.12557e+06		953541	646221				566822			217590	823812	1.00644e+06	1.28698e+06		713770	165447	850589	1.25588e+06		194663	362838	303740	968090	804953	921821	939792			1.14296e+06	1.27452e+06						
Q06587	Q06587		RING1		688356	644849	738868	582211	634132	605480		543658	581535				122375		332323		619530		313944			503756		414965	116511				479968				482885	335591	212342				122414	722394					249751	379501	306308	692023			380563	579475						
Q06609	Q06609		RAD51		532068	164221	285136	241768	260080	196705		220445	251559				62984.2		213798		209856		165101			198696		228741	22810.8				157606				138110	161501	63427.4					117532					105604		105618											
Q06710	Q06710		PAX8		2.07247e+06	1.23319e+06	2.53964e+06	1.45051e+06	1.43747e+06	1.06144e+06	9.39009e+06	1.1474e+06	1.01486e+06	9.52854e+06	9.38664e+06	6.79884e+06	1.06389e+06	5.84895e+06	1.17658e+06	540961	896419	1.78544e+06	848086	2.6961e+07	3.17581e+07	1.04536e+06	1.03776e+06	829394	641455	465958	1.33277e+06	2.5938e+07	1.045e+06	493843	1.0543e+06	310508	912963	1.02507e+06	989337	2.83203e+07	571322	391562	703068	56509.5	3.52567e+07	317599	1.09809e+06	1.09767e+06	799774	969444	874165		3.0037e+07	4.00286e+07			3.06933e+07	2.76813e+07	3.74162e+07	5.54789e+07	5.40409e+07	
Q06830	Q06830		PRDX1		7.27666e+07	5.07923e+07	7.44165e+07	5.90061e+07	5.8972e+07	5.7548e+07	4.0817e+09	5.14032e+07	2.6355e+07	4.20111e+09	3.84222e+09	3.17978e+09	2.40437e+07	3.91555e+09	1.9166e+07	7.82746e+07	2.5593e+07	7.12364e+08	1.82023e+07	3.25725e+09	3.1031e+09	3.15035e+07	3.25171e+08	2.50116e+07	2.99353e+07	6.81283e+07	4.58236e+08	2.72747e+09	4.69351e+07	1.03026e+08	4.21978e+08	5.77815e+07	2.5835e+07	2.3647e+07	2.83329e+07	2.2118e+09	3.89389e+07	5.61117e+07	2.87464e+07	1.39832e+08	3.27406e+09	7.59006e+07	4.94065e+08	3.90986e+08	2.05226e+07	2.86757e+07	2.88084e+07	1.20224e+08	1.9638e+09	2.00958e+09	1.96789e+08	1.70315e+08	3.23355e+09	3.0945e+09	2.50979e+09	3.6772e+09	6.84588e+09	2.63825e+09
Q07002	Q07002		CDK18			305685		367855	445905	349160		306034	271010				51371.6		187895		223008		218116			288720		196000					262736				166988	224234	71890.3										143787	158808	143272											
Q07020	Q07020		RPL18		2.5133e+07	4.47091e+07	3.3739e+07	5.25288e+07	5.24241e+07	5.26608e+07		5.29526e+07	7.28176e+07				1.50919e+06		4.22511e+07		7.73194e+07	8.58825e+06	3.96772e+07			7.92722e+07	65860.4	4.74427e+07	625599			1.03839e+07	5.86661e+07				7.67755e+07	2.74855e+07	2.68275e+06		412447		761140	4.45347e+07		134542			3.90842e+07	7.79735e+07	5.90455e+07	5.27933e+07			5.10392e+07	4.64105e+07						
Q07021	Q07021		C1QBP		3.53716e+06	2.08452e+06	2.64997e+06	2.20351e+06	2.50488e+06	1.80015e+06	2.22995e+06	1.4159e+06	1.54815e+06		981631	1.13658e+06	6.24174e+06	958685	1.82208e+06	1.61551e+07	1.48471e+06	3.20638e+06	2.1522e+06			1.92572e+06	5.61148e+06	2.32491e+06	7.36413e+06	1.25836e+07	2.2639e+06		1.93677e+06	1.01475e+07	5.18389e+06	1.94008e+07	2.15859e+06	3.36194e+06	5.83602e+06		7.97651e+06	1.89444e+07	6.80837e+06	7.56974e+06		2.07078e+07	3.45959e+06	6.63303e+06	2.46764e+06	2.51487e+06	2.58862e+06	7.1151e+06			1.02412e+07	1.66537e+07						
Q07065	Q07065		CKAP4		5.02152e+06	4.11333e+06	5.06502e+06	4.51182e+06	4.3074e+06	4.13949e+06	3.44141e+06	4.26562e+06	3.85878e+06	2.79287e+06	3.92195e+06	3.92294e+06	1.078e+06	3.72354e+06	2.55335e+06	2.08039e+06	3.8302e+06	2.07329e+06	2.32349e+06			4.24424e+06	2.40726e+06	2.58886e+06	975492	1.97695e+06	2.36386e+06		3.71441e+06	1.80387e+06	1.69533e+06	1.38903e+06	3.18661e+06	1.90699e+06	1.05318e+06	1.3853e+06	855674	1.76307e+06	968421	1.43205e+06		1.69627e+06	1.59386e+06	1.71504e+06	2.23072e+06	3.27218e+06	2.86643e+06	1.42989e+06			1.49194e+06	1.5837e+06	4.38113e+06					9.45424e+07
Q07352	Q07352		ZFP36L1						78425.8	114584		62632.8	47860.9																																																	
Q07617	Q07617		SPAG1			103210															117235		139791															184526												262573	186526	507932			534757							
Q07666	Q07666		KHDRBS1		7.66237e+06	3.81203e+06	8.75512e+06	4.64362e+06	4.16259e+06	3.93785e+06		5.02598e+06	3.48568e+06	250629			688153		2.73026e+06	362270	4.54804e+06		2.51799e+06			4.2261e+06		2.83951e+06	510385	157444			4.22925e+06			376105	3.78567e+06	2.45772e+06	913086		392855	443609	870240	2.64277e+06		218667			3.06724e+06	5.03024e+06	3.76951e+06	2.84662e+06			3.07872e+06	3.90443e+06						
Q07812	Q07812		BAX		1.27825e+06	583507	1.36428e+06	652626	654334	667056	3.56053e+07	449099	290959	2.7573e+07	3.70412e+07	4.08111e+07	198563	3.53442e+07	174989	630675	287744	2.47303e+07	278128	6.16398e+06		365421	9.20315e+06	248711	305695	725730	1.29326e+07		470304	1.28988e+06	1.41791e+07	631059	222180		123519		399083	371329	552545	4.38585e+06		775014	1.43594e+07	1.18555e+07	51434.7		318003	4.24576e+06			4.54924e+06	3.95759e+06	7.699e+06	1.11727e+07				
Q07817	Q07817		BCL2L1		632093	545709	647758	656992	265123	418669	3.78867e+06	348688		3.84455e+06	4.17179e+06	4.41992e+06	195676	3.23084e+06	149098	1.50194e+06	620712	6.19456e+06	213833	9.96827e+06		764365	4.31357e+06	187497	366172	848452	5.29779e+06		915570	1.31052e+06	5.63494e+06	836314	235335	216386	254297		563088	1.13884e+06	333734	88899.2		1.1228e+06	6.38795e+06	5.1323e+06	307382	350106	294529			1.02179e+07	193426		2.3172e+07			6.56865e+07		
Q07864	Q07864		POLE		477620	326195	391910	416525	402620	400649		419152	377739						161562		363084		199446			437377		156066					347060			84396.8	250174	171707			90449			178811					117468	209548	192733	193530			344482	219388						
Q07889	Q07889		SOS1			259746		183125	258831	287744			155147				48482.3		84758.3		169777		90722.2			186781							182200																57428		53482.3				80181.4	201558						
Q07954	Q07954		LRP1		1.04122e+06	824607	941646	707450	720467	777785		662315	514831			4.78129e+06	794414	746363	509950	2.48776e+06	481595	1.6027e+06	494341			625545	2.20726e+06	461972	747341	2.07315e+06	1.49218e+06		432212	2.64015e+06	1.66284e+06	1.56884e+06	446402	451494	592772		1.01475e+06	1.7864e+06	644524	287018		2.07668e+06	1.40619e+06	1.23714e+06	290907	307306	306766	614062				2.87148e+06						
Q07955	Q07955		SRSF1		2.21835e+07	2.06969e+07	2.77164e+07	2.27735e+07	2.06073e+07	1.94481e+07		2.34141e+07	1.34495e+07				1.03859e+06		1.15298e+07		1.71787e+07		1.04823e+07			1.84489e+07		1.13482e+07	217621				1.90078e+07	827184	67655		1.71753e+07	9.76407e+06	2.17008e+06		279777		1.16878e+06	1.88791e+07					1.20849e+07	1.76488e+07	1.43733e+07	1.83337e+07			1.83391e+07	1.88155e+07						
Q07960	Q07960		ARHGAP1		3.66463e+06	2.33712e+06	3.47834e+06	3.21566e+06	3.38376e+06	3.64243e+06		3.76555e+06	3.6332e+06				530268		2.55972e+06		3.96294e+06		2.97688e+06			3.44553e+06		3.36633e+06	502861				3.16535e+06			122630	3.63765e+06	2.27032e+06	929967		332898		648605	1.56003e+06					3.095e+06	4.41532e+06	3.54032e+06	2.55946e+06	1.22308e+07		2.4933e+06	2.51925e+06						
Q08117	Q08117		TLE5			729652		736117	864908	793246		877808	718285						454935		484496							606375									891361	278369						626289					675901	900143	1.14504e+06	860866			801558	922260						
Q08170	Q08170		SRSF4		1.49886e+06	759350	1.51155e+06	787226	659061	682373		668587	470824						277208		489988		922494			693957		546852					489330			513059	495191	773195						1.10184e+06					756792	1.2079e+06	1.15387e+06	920795			867000	1.21884e+06						
Q08174	Q08174		PCDH1			137342			124563	147879		177001	237619				170684		161785	178414	237960		106745			143949		185158	149135				130766			115861	162398	144646	186774		122459								179529													
Q08209	Q08209		PPP3CA			375944				121732		514416	307729				578465		330293	1.67552e+06	478874	1.29934e+06	356138			488369	1.71841e+06	303214	674982	1.80883e+06	1.57395e+06		624989	1.58645e+06	1.63182e+06	1.25649e+06	312426	397304	584272		973124	1.90103e+06	729971	656178		1.92791e+06	1.77509e+06	1.86276e+06	392893	425396	448592	1.02783e+06			1.06101e+06	1.194e+06						
Q08211	Q08211		DHX9		1.30949e+07	1.28942e+07	1.33691e+07	1.4307e+07	1.42092e+07	1.44347e+07	1.28938e+07	1.50162e+07	1.43777e+07	1.07762e+07	1.27e+07	1.15095e+07	777844	1.07473e+07	8.68541e+06	861821	1.57942e+07	1.068e+07	8.88068e+06	6.55747e+07	8.42325e+07	1.51462e+07	1.14854e+07	1.00828e+07	460975	910404	1.25544e+07	5.20514e+07	1.35386e+07	1.13441e+06	1.31833e+07	668399	1.37443e+07	6.85077e+06	1.6428e+06	5.13116e+07	298531	768085	723571	1.09831e+07	6.5222e+07	1.16073e+06	1.6078e+07	1.3448e+07	8.85547e+06	1.6242e+07	1.26004e+07	1.1082e+07	4.83882e+07	7.85563e+07	1.12632e+07	1.14461e+07	3.40708e+07	6.6974e+07	5.94547e+07	1.94528e+08	1.42596e+08	2.88494e+08
Q08257	Q08257		CRYZ		1.94248e+06	1.1431e+06	1.78259e+06	1.34529e+06	1.31499e+06	1.27954e+06	833114	1.10049e+06	740769				813497		319719	7.67789e+06	775078	6.90551e+06	640351			1.08748e+06	2.80392e+07	421247	669979	8.23499e+06	1.67171e+07		1.1561e+06	1.37054e+07	2.09721e+07	2.81478e+06	569095	544496	573723		1.24558e+06	4.7558e+06	738026	1.36732e+06		7.31598e+06	1.50788e+07	1.94052e+07	392059	445979	372401	1.17135e+06			1.19031e+06	1.29734e+06						2.90266e+08
Q08345	Q08345		DDR1		577102	420823	710512	482652	468209	392219	1.3285e+06	509395	414798	2.01818e+06	2.25924e+06	1.1424e+06	138142	1.1394e+06	325193	149466	387385	943871	253030			457396	454933	278540	118362	216014	517971		456034	308804	471361	118812	325331	186818	79993.8		57336.4	218057	139788			190056	643404	680490	296206	325063	370346											
Q08357	Q08357		SLC20A2		626500	250175	652035	320860	299195	228997		392754	241375				172414		211135		186633		209270			253302		148572					208819				192822	168710	66051		42089.7								120814	160128	148813											
Q08378	Q08378		GOLGA3		552657	417940	512044	414349	386540	362578	5.42168e+06	443518	345838	4.91595e+06	8.53746e+06	5.9101e+06	130074	4.5693e+06	655382	185141	336150	1.91453e+06	626512	1.73023e+07		320843	581603	673105	110332	84579	1.17482e+06	1.72409e+07	359926	236982	944969	160892	323883	550541	173369	1.78227e+07	87535.7	213101	90991.1	97688.1	1.89484e+07			588832	440682	291220	378172	186526	1.73757e+07	3.13043e+07	123158	102194	2.39169e+07		2.13428e+07			
Q08379	Q08379		GOLGA2		3.63286e+06	2.74926e+06	3.24687e+06	3.00458e+06	2.99034e+06	2.55228e+06		2.86662e+06	2.00951e+06				219472		771333		1.89177e+06		809133			2.1149e+06		872706	128689				1.63937e+06	990871			1.45025e+06	609917	181894		92578.3			777888					828816	1.72086e+06	1.21612e+06	815025			907283	771690						
Q08380	Q08380		LGALS3BP		3.76429e+06	3.29573e+06	3.54405e+06	3.48949e+06	3.58527e+06	3.55538e+06	1.09638e+07	3.2516e+06	2.01914e+06	1.02391e+07	1.18893e+07	1.34319e+07	2.06272e+06	1.40522e+07	1.767e+06	5.76354e+06	2.14512e+06	3.06296e+07	1.61376e+06	5.69784e+07	3.20456e+07	2.69204e+06	1.69797e+07	2.14342e+06	2.39452e+06	7.51118e+06	2.02694e+07	3.03968e+07	2.98276e+06	9.26677e+06	2.9344e+07	3.8377e+06	1.98593e+06	2.04878e+06	2.39197e+06	2.88073e+07	3.17993e+06	4.57546e+06	1.87738e+06	2.20572e+06	7.09098e+07	5.98415e+06	2.1214e+07	1.92051e+07	1.84459e+06	2.36972e+06	1.88183e+06	1.48567e+06	7.03659e+07	8.66844e+07	1.60047e+06	1.8269e+06	4.47032e+07	7.42218e+07	5.1225e+07	1.4617e+08	3.12642e+08	7.55732e+07
Q08426	Q08426		EHHADH		1.18774e+06	1.11552e+06	945259	745590	716740	888375		736821	520518				575752		555711	1.77436e+06	540572		597687			525568	736584	569159	781910	2.34789e+06			723546	1.74317e+06		2.18944e+06	821886	507329	491200		838063	2.18776e+06	654240	777708		2.02199e+06	155951		607769	688136	733822	862488			759961	676689						
Q08431	Q08431		MFGE8		283459	198696	244114	286502	271919	242647	508633	184795	98871.9	888032	373680	190986	64282.6		48892	129422	67637	1.3124e+06	34097.7	6.79765e+06		93269.5	703076		38558	105299	868830		139911	188079	728161	84677.4	51318.6				52909.4	78641.2				105406	664912	581433														
Q08499	Q08499		PDE4D																																					2.02766e+06				227124								160201			143892	197112						
Q08623	Q08623		PUDP						831348				411855			5.7088e+06	730040	1.77792e+06	576785	663967			424794			827211	2.366e+06	272716	562782	472923	4.13142e+06			591310		959032		281584	633900		717717	632256	656856	256135		560088	5.74476e+06			392240		644792			568054	704396						
Q08722	Q08722		CD47		1.57448e+06	3.34192e+06	1.62974e+06	3.66712e+06	3.46508e+06	4.55725e+06	1.98388e+08	3.46676e+06	1.63494e+06	2.26519e+08	1.83314e+08	2.39864e+08	874941	2.79344e+08	498507	3.49609e+06	1.5253e+06	8.06523e+07	458078	471561		1.95396e+06	3.10097e+07	855191	1.83526e+06	3.91257e+06	5.55972e+07		5.42642e+06	4.37523e+06	5.8527e+07	2.58576e+06	1.50213e+06	651677	1.13014e+06		2.10793e+06	3.59674e+06	1.18049e+06			3.76516e+06	6.45666e+07	5.63278e+07	536805	1.1957e+06	1.43147e+06	176957			224393	310319	1.25461e+08					
Q08752	Q08752		PPID		2.17607e+06	2.50478e+06	1.88191e+06	1.60543e+06	1.72418e+06	1.68519e+06		1.63474e+06	1.45644e+06				1.2325e+06		1.1556e+06	903657	1.43876e+06		1.0246e+06			1.0608e+06		1.04287e+06	2.60668e+06	2.16148e+06			2.33644e+06	802432		2.12321e+06	1.72787e+06	755281	1.11323e+06		1.75077e+06	2.11525e+06	2.11739e+06	681100		1.93713e+06			938936	941032	1.50777e+06	655790			815077	813019						
